Japan,India,China,Australia,date
101.7,43.55,8.2798,1.5172,2000-01-03
103.09,43.55,8.2799,1.5239,2000-01-04
103.77,43.55,8.2798,1.5267,2000-01-05
105.19,43.55,8.2797,1.5291,2000-01-06
105.17,43.55,8.2794,1.5272,2000-01-07
105.28,43.55,8.2794,1.5242,2000-01-10
106.09,43.6,8.2795,1.5209,2000-01-11
105.76,43.6,8.2796,1.5202,2000-01-12
106.09,43.55,8.2798,1.4954,2000-01-13
105.86,43.55,8.2797,1.5004,2000-01-14
105.49,43.6,8.2793,1.506,2000-01-18
105.39,43.6,8.2797,1.5074,2000-01-19
105.45,43.6,8.2794,1.5002,2000-01-20
104.96,43.6,8.2795,1.5103,2000-01-21
105.52,43.62,8.2789,1.5281,2000-01-24
105.87,43.59,8.2786,1.5286,2000-01-25
105.85,43.65,8.2782,1.5373,2000-01-26
104.91,43.63,8.2783,1.5267,2000-01-27
107.15,43.65,8.2781,1.5962,2000-01-28
107.33,43.65,8.2777,1.5669,2000-01-31
107.67,43.62,8.2774,1.5835,2000-02-01
108.4,43.65,8.2773,1.5723,2000-02-02
107.92,43.65,8.2781,1.5657,2000-02-03
107.54,43.65,8.2788,1.5835,2000-02-04
108.75,43.64,8.2788,1.5775,2000-02-07
109.59,43.63,8.2788,1.5741,2000-02-08
109.11,43.65,8.2788,1.576,2000-02-09
108.74,43.58,8.2788,1.5823,2000-02-10
108.99,43.65,8.2788,1.5918,2000-02-11
108.65,43.65,8.2779,1.5926,2000-02-14
108.75,43.64,8.2777,1.5873,2000-02-15
109.38,43.75,8.2777,1.587,2000-02-16
110.27,43.68,8.2772,1.5823,2000-02-17
110.88,43.68,8.2772,1.5893,2000-02-18
111.04,43.65,8.2773,1.5982,2000-02-22
111.11,43.68,8.278,1.6139,2000-02-23
110.95,43.65,8.278,1.6276,2000-02-24
110.98,43.65,8.2786,1.6194,2000-02-25
109.17,43.68,8.2786,1.6351,2000-02-28
109.88,43.65,8.2786,1.6247,2000-02-29
107.1,43.63,8.2786,1.6483,2000-03-01
107.37,43.65,8.2787,1.6455,2000-03-02
107.8,43.65,8.2789,1.6442,2000-03-03
107.74,43.63,8.2785,1.6622,2000-03-06
106.2,43.63,8.2784,1.657,2000-03-07
106.89,43.65,8.2786,1.641,2000-03-08
106.45,43.63,8.2787,1.6247,2000-03-09
106.27,43.65,8.2785,1.6297,2000-03-10
105.32,43.65,8.2781,1.6221,2000-03-13
104.85,43.64,8.278,1.6287,2000-03-14
105.58,43.65,8.2778,1.6327,2000-03-15
105.63,43.58,8.2777,1.6375,2000-03-16
106.1,43.65,8.2785,1.6483,2000-03-17
106.5,43.63,8.2786,1.6488,2000-03-20
106.91,43.59,8.2783,1.6393,2000-03-21
106.77,43.65,8.2783,1.6513,2000-03-22
107.45,43.65,8.2787,1.6554,2000-03-23
107.25,43.65,8.2789,1.6491,2000-03-24
107.13,43.62,8.2792,1.6356,2000-03-27
105.9,43.65,8.2795,1.6284,2000-03-28
105.6,43.65,8.2789,1.6329,2000-03-29
105.53,43.65,8.2788,1.6327,2000-03-30
102.73,43.65,8.2787,1.6496,2000-03-31
104.82,43.632,8.2786,1.6466,2000-04-03
105.33,43.65,8.2791,1.6578,2000-04-04
105,43.68,8.2795,1.6521,2000-04-05
104.78,43.65,8.2795,1.6622,2000-04-06
105.33,43.67,8.2795,1.6658,2000-04-07
106.37,43.66,8.2798,1.6692,2000-04-10
106.95,43.68,8.2791,1.6787,2000-04-11
105.86,43.7,8.2796,1.675,2000-04-12
105.76,43.7,8.2794,1.677,2000-04-13
105.12,43.75,8.2794,1.6745,2000-04-14
104.19,43.68,8.2794,1.6912,2000-04-17
104.59,43.7,8.279,1.6818,2000-04-18
104.94,43.7,8.2793,1.6787,2000-04-19
105.45,43.687,8.2791,1.6861,2000-04-20
105.88,43.7,8.2785,1.6878,2000-04-21
105.66,43.655,8.2786,1.6821,2000-04-24
105.71,43.7,8.2791,1.679,2000-04-25
106.46,43.7,8.2795,1.6978,2000-04-26
106.36,43.7,8.2798,1.7021,2000-04-27
107.98,43.7,8.2799,1.7132,2000-04-28
108.89,43.67,8.2799,1.7241,2000-05-01
108.63,43.75,8.2799,1.7074,2000-05-02
109.14,43.73,8.2799,1.6949,2000-05-03
108.17,43.67,8.2799,1.6909,2000-05-04
108.53,43.7,8.2799,1.6849,2000-05-05
109.03,43.7,8.2798,1.7036,2000-05-08
109.61,43.7,8.279,1.7159,2000-05-09
109.33,44.3,8.2785,1.7197,2000-05-10
108.47,44.44,8.2782,1.7271,2000-05-11
108.74,44.15,8.2778,1.7212,2000-05-12
109.48,44.44,8.2777,1.7425,2000-05-15
109.75,44.05,8.2772,1.7322,2000-05-16
109.53,44.02,8.2768,1.759,2000-05-17
108.7,44.03,8.2773,1.7535,2000-05-18
106.89,44,8.2768,1.7458,2000-05-19
107.02,44.02,8.277,1.7422,2000-05-22
106.72,44.15,8.2768,1.74,2000-05-23
107.58,44.25,8.2769,1.7504,2000-05-24
107.48,44.2,8.2773,1.7544,2000-05-25
107.18,44.4,8.2771,1.7495,2000-05-26
106.44,44.65,8.2772,1.7337,2000-05-30
107.74,44.65,8.2773,1.7519,2000-05-31
108.74,44.65,8.2771,1.7479,2000-06-01
108.15,44.7,8.2771,1.7271,2000-06-02
107.44,44.75,8.277,1.7206,2000-06-05
105.64,44.75,8.2773,1.6987,2000-06-06
105.5,44.83,8.2773,1.6949,2000-06-07
105.86,44.85,8.2775,1.7013,2000-06-08
106.78,44.85,8.2772,1.7053,2000-06-09
106.65,44.85,8.2771,1.6915,2000-06-12
106.79,44.8,8.277,1.6742,2000-06-13
106.89,44.72,8.2768,1.6647,2000-06-14
106.52,44.8,8.2768,1.6625,2000-06-15
106.22,44.83,8.2768,1.6439,2000-06-16
105.74,44.85,8.2768,1.66,2000-06-19
105.42,44.75,8.2772,1.6565,2000-06-20
105.5,44.7,8.2772,1.6595,2000-06-21
104.4,44.7,8.2771,1.6686,2000-06-22
104.59,44.75,8.2769,1.6767,2000-06-23
105.66,44.75,8.2773,1.6764,2000-06-26
105.53,44.7,8.2774,1.6633,2000-06-27
105.51,44.72,8.2775,1.6603,2000-06-28
105.09,44.73,8.278,1.6586,2000-06-29
106.14,44.7,8.2782,1.6748,2000-06-30
105.64,44.72,8.2786,1.6678,2000-07-03
106.91,44.69,8.2787,1.6929,2000-07-05
107.37,44.81,8.2791,1.6923,2000-07-06
107.81,44.78,8.2793,1.6946,2000-07-07
107.1,44.75,8.2795,1.6915,2000-07-10
106.93,44.75,8.2794,1.6975,2000-07-11
108.36,44.75,8.2795,1.6978,2000-07-12
108.27,44.78,8.2791,1.7079,2000-07-13
107.88,44.78,8.2796,1.7103,2000-07-14
108.53,44.74,8.2791,1.7079,2000-07-17
108.3,44.83,8.2796,1.7112,2000-07-18
108.2,44.85,8.2796,1.7391,2000-07-19
107.89,45.02,8.2796,1.7194,2000-07-20
109.08,44.8,8.2795,1.705,2000-07-21
108.92,44.77,8.2798,1.7065,2000-07-24
109.3,44.95,8.2797,1.7097,2000-07-25
109.28,44.98,8.2796,1.6938,2000-07-26
109.15,44.95,8.2793,1.6975,2000-07-27
109.63,44.96,8.2794,1.703,2000-07-28
109.68,45.15,8.2792,1.728,2000-07-31
109.47,45.15,8.2788,1.7227,2000-08-01
108.77,45.4,8.2791,1.7153,2000-08-02
108.36,45.4,8.2796,1.7112,2000-08-03
108.54,45.4,8.2798,1.7147,2000-08-04
108.99,45.62,8.2799,1.7059,2000-08-07
108.64,45.8,8.2799,1.7042,2000-08-08
107.99,45.7,8.2798,1.7283,2000-08-09
108.7,45.9,8.2799,1.7188,2000-08-10
108.68,45.9,8.2796,1.7256,2000-08-11
109.52,45.85,8.2795,1.7212,2000-08-14
109,45.8,8.2788,1.715,2000-08-15
108.55,45.8,8.2797,1.6958,2000-08-16
108.48,45.95,8.2799,1.6849,2000-08-17
108.43,45.9,8.2797,1.6935,2000-08-18
108.53,45.73,8.2799,1.6978,2000-08-21
108.34,45.75,8.2799,1.7235,2000-08-22
107.02,45.9,8.2793,1.7519,2000-08-23
106.89,46.05,8.2799,1.7467,2000-08-24
107.17,46.05,8.2799,1.7431,2000-08-25
106.45,45.83,8.2799,1.7498,2000-08-28
106.2,46,8.2799,1.7504,2000-08-29
106.47,45.9,8.2788,1.7483,2000-08-30
106.66,45.9,8.2786,1.7349,2000-08-31
105.78,45.8,8.2787,1.7346,2000-09-01
105.88,45.74,8.279,1.7547,2000-09-05
106.08,45.65,8.2794,1.7683,2000-09-06
105.1,46.05,8.279,1.7924,2000-09-07
106.03,45.73,8.2794,1.7995,2000-09-08
105.97,45.65,8.2786,1.7889,2000-09-11
106.93,45.7,8.2787,1.7902,2000-09-12
107.11,45.7,8.277,1.8018,2000-09-13
107.25,45.8,8.2773,1.8215,2000-09-14
107.33,45.85,8.2771,1.8349,2000-09-15
106.87,46.15,8.2772,1.846,2000-09-18
107.02,46.45,8.2779,1.845,2000-09-19
106.77,46.3,8.2775,1.8615,2000-09-20
106.5,46.09,8.2778,1.8423,2000-09-21
107.94,46.18,8.2787,1.8332,2000-09-22
107.63,46.16,8.2793,1.8215,2000-09-25
107.63,46.1,8.2791,1.8162,2000-09-26
107.44,46.15,8.2795,1.8149,2000-09-27
107.59,46.05,8.2799,1.8215,2000-09-28
107.9,46.06,8.2798,1.8467,2000-09-29
108.81,46.1,8.279,1.8349,2000-10-02
108.66,46.18,8.279,1.8519,2000-10-03
109.29,46.17,8.279,1.8639,2000-10-04
109.3,46.17,8.279,1.8692,2000-10-05
108.81,46.17,8.279,1.873,2000-10-06
107.9,46.25,8.2789,1.873,2000-10-10
107.63,46.35,8.2786,1.8657,2000-10-11
107.58,46.3,8.2786,1.8797,2000-10-12
107.67,46.45,8.2784,1.8879,2000-10-13
108.3,46.4,8.2781,1.912,2000-10-16
108.15,46.35,8.2784,1.9275,2000-10-17
107.78,46.45,8.2781,1.9279,2000-10-18
108.55,46.4,8.278,1.9194,2000-10-19
109.04,46.4,8.2778,1.8939,2000-10-20
108.45,46.45,8.2784,1.8961,2000-10-23
108.08,46.48,8.2784,1.9026,2000-10-24
108.05,46.7,8.2782,1.9264,2000-10-25
108.36,46.7,8.2785,1.9286,2000-10-26
108.75,46.78,8.2788,1.9109,2000-10-27
108.99,46.78,8.278,1.9102,2000-10-30
109.15,46.9,8.2775,1.9301,2000-10-31
108.48,46.82,8.2773,1.9131,2000-11-01
108.39,46.85,8.277,1.9201,2000-11-02
107.58,46.7,8.2768,1.9051,2000-11-03
107.34,46.64,8.2771,1.8939,2000-11-06
107.3,46.7,8.2769,1.8939,2000-11-07
107.57,46.72,8.2772,1.8997,2000-11-08
107.41,46.75,8.2768,1.904,2000-11-09
107.83,46.78,8.2772,1.9157,2000-11-10
107.7,46.77,8.2768,1.9212,2000-11-13
108.15,46.85,8.2773,1.9268,2000-11-14
108.75,46.83,8.2768,1.922,2000-11-15
109.08,46.85,8.2773,1.9294,2000-11-16
108.86,46.82,8.2769,1.9268,2000-11-17
109.79,46.9,8.2779,1.9478,2000-11-20
110.29,46.85,8.2786,1.9562,2000-11-21
110.16,46.86,8.2782,1.9253,2000-11-22
111.38,46.91,8.2779,1.9175,2000-11-24
110.7,46.9,8.278,1.9008,2000-11-27
110.23,46.93,8.2777,1.9146,2000-11-28
111.28,46.95,8.2774,1.9128,2000-11-29
110.93,46.87,8.2777,1.9004,2000-11-30
111.15,46.89,8.2775,1.8615,2000-12-01
111.07,46.88,8.2771,1.8413,2000-12-04
111,46.8,8.277,1.8501,2000-12-05
110.42,46.78,8.277,1.8355,2000-12-06
110.7,46.8,8.277,1.8282,2000-12-07
111.29,46.8,8.2769,1.8365,2000-12-08
110.77,46.78,8.2773,1.8519,2000-12-11
111.5,46.78,8.2771,1.845,2000-12-12
112.4,46.8,8.277,1.8587,2000-12-13
112.42,46.8,8.2768,1.8529,2000-12-14
112.55,46.8,8.2768,1.8322,2000-12-15
112.06,46.79,8.2774,1.8464,2000-12-18
112.55,46.75,8.2772,1.8399,2000-12-19
112.58,46.75,8.2769,1.8212,2000-12-20
112.18,46.74,8.2768,1.8073,2000-12-21
112.75,46.77,8.2777,1.8018,2000-12-22
113.62,46.75,8.2769,1.7895,2000-12-26
114.2,46.73,8.277,1.7889,2000-12-27
114.62,46.75,8.2781,1.8109,2000-12-28
114.35,46.75,8.2774,1.7986,2000-12-29
114.73,46.74,8.2779,1.7883,2001-01-02
114.26,46.75,8.2773,1.7746,2001-01-03
115.47,46.78,8.2781,1.7683,2001-01-04
116.19,46.76,8.2775,1.7507,2001-01-05
115.97,46.73,8.2778,1.7668,2001-01-08
116.64,46.68,8.2771,1.7768,2001-01-09
116.26,46.68,8.2769,1.7947,2001-01-10
117.56,46.68,8.2767,1.7873,2001-01-11
117.76,47.47,8.2768,1.7995,2001-01-12
117.28,46.55,8.2766,1.8021,2001-01-16
118.35,46.48,8.2764,1.8136,2001-01-17
117.78,46.45,8.2764,1.7979,2001-01-18
117.23,46.43,8.2764,1.7953,2001-01-19
116.62,46.43,8.2782,1.8038,2001-01-22
116.95,46.39,8.2786,1.809,2001-01-23
118.18,46.42,8.2786,1.8352,2001-01-24
116.91,46.54,8.2786,1.8345,2001-01-25
117.16,46.53,8.2786,1.8409,2001-01-26
116.67,46.5,8.2786,1.8409,2001-01-29
115.75,46.46,8.2786,1.8268,2001-01-30
116.39,46.44,8.2781,1.8248,2001-01-31
115.33,46.41,8.2772,1.8051,2001-02-01
115.65,46.44,8.2774,1.8113,2001-02-02
114.99,46.43,8.277,1.8155,2001-02-05
114.88,46.42,8.2766,1.8215,2001-02-06
116.21,46.46,8.2765,1.8308,2001-02-07
116.3,46.46,8.2763,1.8653,2001-02-08
117.57,46.54,8.2764,1.8632,2001-02-09
117.62,46.56,8.2774,1.8584,2001-02-12
117.3,46.6,8.2765,1.8737,2001-02-13
116.65,46.65,8.2764,1.8932,2001-02-14
115.67,46.63,8.2772,1.9084,2001-02-15
115.46,46.55,8.277,1.885,2001-02-16
115.57,46.66,8.2767,1.9142,2001-02-20
116.45,46.65,8.2772,1.9106,2001-02-21
116.53,46.63,8.2769,1.9062,2001-02-22
116.15,46.65,8.2774,1.9164,2001-02-23
116.63,46.66,8.2776,1.9183,2001-02-26
116.2,46.68,8.2781,1.9099,2001-02-27
117.28,46.59,8.2783,1.9055,2001-02-28
117.33,46.59,8.2778,1.9004,2001-03-01
119.06,46.59,8.2782,1.8896,2001-03-02
119.08,46.57,8.2777,1.9164,2001-03-05
118.87,46.53,8.2778,1.9342,2001-03-06
119.86,46.57,8.2773,1.9646,2001-03-07
119.51,46.56,8.277,1.965,2001-03-08
119.71,46.55,8.2774,1.9666,2001-03-09
120.63,46.57,8.2784,1.9623,2001-03-12
120.2,46.7,8.2783,1.9877,2001-03-13
120.97,46.69,8.2778,2.0076,2001-03-14
122.23,46.66,8.2776,2.0227,2001-03-15
122.85,46.69,8.2771,2.0243,2001-03-16
122.57,46.72,8.2772,2.0064,2001-03-19
122.73,46.71,8.2772,2.0012,2001-03-20
123.62,46.71,8.2771,2.0259,2001-03-21
123.84,46.74,8.2768,2.0354,2001-03-22
122.64,46.72,8.2773,2.0149,2001-03-23
122.81,46.69,8.2771,2.004,2001-03-26
122.99,46.65,8.2773,2.0149,2001-03-27
122.62,46.65,8.2777,2.0259,2001-03-28
123.45,46.66,8.2779,2.0321,2001-03-29
125.54,46.85,8.2777,2.0488,2001-03-30
126.75,46.65,8.2776,2.0713,2001-04-02
125.41,46.67,8.2772,2.0576,2001-04-03
125.38,46.6,8.2771,2.0437,2001-04-04
124.33,46.64,8.2768,2.0416,2001-04-05
124.03,46.58,8.2767,2.0169,2001-04-06
124.85,46.58,8.277,2.021,2001-04-09
124.48,46.6,8.2769,2.0222,2001-04-10
124.82,46.75,8.2769,1.99,2001-04-11
123.51,46.75,8.2772,1.9677,2001-04-12
124.15,46.89,8.2769,1.9681,2001-04-13
124.64,47.07,8.2769,1.9589,2001-04-16
123.67,46.95,8.2775,1.9782,2001-04-17
122.35,46.95,8.2775,2.004,2001-04-18
121.87,46.88,8.2773,1.9666,2001-04-19
122.52,46.88,8.2775,1.9312,2001-04-20
121.68,46.82,8.277,1.9759,2001-04-23
122.08,46.88,8.2769,1.9861,2001-04-24
122.21,46.88,8.2767,1.9822,2001-04-25
123.13,46.78,8.2769,1.9743,2001-04-26
123.76,46.88,8.2773,1.96,2001-04-27
123.57,46.88,8.2774,1.9623,2001-04-30
121.92,46.87,8.2774,1.9316,2001-05-01
121.72,46.87,8.2774,1.9183,2001-05-02
121.19,46.87,8.2774,1.9279,2001-05-03
121.05,46.87,8.2774,1.9272,2001-05-04
121.34,46.84,8.2774,1.9283,2001-05-07
121.66,46.83,8.2785,1.9298,2001-05-08
122.25,46.85,8.2775,1.915,2001-05-09
122.71,46.88,8.2771,1.908,2001-05-10
122.5,46.85,8.2771,1.9205,2001-05-11
123.12,47,8.2771,1.9305,2001-05-14
123.26,47.03,8.2709,1.9257,2001-05-15
123.59,46.97,8.2769,1.9109,2001-05-16
122.68,46.99,8.2767,1.8965,2001-05-17
123.67,46.98,8.2768,1.9044,2001-05-18
122.91,47,8.2778,1.8904,2001-05-21
122.79,47.06,8.2774,1.9117,2001-05-22
120.39,47.02,8.2771,1.9275,2001-05-23
120.15,47.02,8.277,1.9324,2001-05-24
120.75,47.02,8.2771,1.9257,2001-05-25
120.1,47.02,8.2768,1.9357,2001-05-29
120.27,47,8.2777,1.9493,2001-05-30
118.88,47,8.277,1.9732,2001-05-31
119.13,47.05,8.2777,1.967,2001-06-01
119.5,47.06,8.277,1.9755,2001-06-04
120.27,47,8.2769,1.9635,2001-06-05
120.35,47.03,8.2772,1.9451,2001-06-06
119.91,47,8.2767,1.9264,2001-06-07
120.6,47.03,8.2767,1.9073,2001-06-08
122.02,47.04,8.2767,1.9146,2001-06-11
121.74,47.08,8.2771,1.9095,2001-06-12
121.89,47.09,8.2779,1.8954,2001-06-13
121.42,47,8.2773,1.9008,2001-06-14
122.97,47.05,8.277,1.9022,2001-06-15
123.2,47.02,8.277,1.9091,2001-06-18
122.97,47.02,8.2779,1.9194,2001-06-19
123.3,47.01,8.277,1.9298,2001-06-20
124.4,47.05,8.2769,1.9312,2001-06-21
124.25,47.04,8.2767,1.935,2001-06-22
124.02,47.06,8.2768,1.9391,2001-06-25
123.82,47.07,8.2768,1.9238,2001-06-26
124.25,47.04,8.2768,1.9312,2001-06-27
124.63,47.06,8.277,1.9569,2001-06-28
124.73,47.09,8.2767,1.9608,2001-06-29
124.22,47.18,8.277,1.9585,2001-07-02
124.48,47.17,8.2767,1.9372,2001-07-03
125.77,47.18,8.2767,1.9429,2001-07-05
125.85,47.17,8.2768,1.9673,2001-07-06
125.43,47.19,8.2767,1.9623,2001-07-09
125.53,47.19,8.277,1.9585,2001-07-10
124.06,47.21,8.2769,1.9724,2001-07-11
124.1,47.2,8.2769,1.981,2001-07-12
124.75,47.21,8.2767,1.9708,2001-07-13
125.44,47.2,8.2767,1.9685,2001-07-16
124.89,47.16,8.2769,1.9743,2001-07-17
124.35,47.12,8.277,1.9448,2001-07-18
123.61,47.16,8.2768,1.9508,2001-07-19
122.85,47.17,8.2768,1.9782,2001-07-20
124.19,47.17,8.277,1.9689,2001-07-23
124,47.11,8.2773,1.9685,2001-07-24
123.64,47.19,8.277,1.9712,2001-07-25
123.83,47.2,8.2771,1.9716,2001-07-26
123.29,47.19,8.277,1.9747,2001-07-27
125.18,47.19,8.2767,1.9775,2001-07-30
125,47.18,8.277,1.9685,2001-07-31
124.87,47.16,8.2769,1.9354,2001-08-01
123.72,47.11,8.2768,1.9268,2001-08-02
123.46,47.17,8.2768,1.932,2001-08-03
123.85,47.16,8.277,1.9357,2001-08-06
123.83,47.11,8.2772,1.9399,2001-08-07
123.2,47.19,8.2773,1.9286,2001-08-08
123.03,47.18,8.2773,1.9596,2001-08-09
121.97,47.17,8.2768,1.9493,2001-08-10
122.46,47.17,8.2771,1.9327,2001-08-13
121.6,47.15,8.2773,1.9246,2001-08-14
119.92,47.16,8.2771,1.8983,2001-08-15
120.11,47.16,8.277,1.8961,2001-08-16
120.37,47.17,8.2768,1.8678,2001-08-17
120.72,47.18,8.2768,1.8786,2001-08-20
119.91,47.18,8.2768,1.8879,2001-08-21
119.91,47.18,8.2769,1.865,2001-08-22
119.84,47.17,8.2768,1.8734,2001-08-23
120.13,47.17,8.2773,1.8829,2001-08-24
120.12,47.19,8.277,1.8921,2001-08-27
120.48,47.19,8.2768,1.8896,2001-08-28
119.79,47.16,8.2769,1.8868,2001-08-29
119.4,47.18,8.2767,1.8762,2001-08-30
118.75,47.17,8.2769,1.895,2001-08-31
119.49,47.22,8.2768,1.9186,2001-09-04
120.76,47.2,8.277,1.9238,2001-09-05
120.95,47.22,8.2768,1.912,2001-09-06
120.07,47.27,8.2767,1.9234,2001-09-07
121.08,47.38,8.2767,1.9474,2001-09-10
119.53,47.39,8.2769,1.9376,2001-09-12
118.81,47.49,8.2768,1.9387,2001-09-13
117.38,47.75,8.2766,1.9395,2001-09-14
117.59,47.77,8.2767,1.9916,2001-09-17
117.32,48.05,8.2768,2.0186,2001-09-18
117.3,47.96,8.2766,2.0288,2001-09-19
115.89,48.03,8.2766,2.0325,2001-09-20
116.73,48.08,8.2767,2.0657,2001-09-21
117.52,48.08,8.277,2.0408,2001-09-24
117.78,48.91,8.2772,2.0247,2001-09-25
117.89,47.91,8.2769,2.0446,2001-09-26
119.69,47.91,8.2769,2.0551,2001-09-27
119.23,47.9,8.2768,2.0218,2001-09-28
120.27,48.03,8.2768,2.0313,2001-10-01
120.78,48.03,8.2768,2.019,2001-10-02
120.67,47.96,8.2768,2.0117,2001-10-03
120.63,48.04,8.2768,2.0101,2001-10-04
120.37,48.05,8.2768,1.9763,2001-10-05
120.2,48.17,8.2769,1.9964,2001-10-09
120.43,48.09,8.2768,1.9936,2001-10-10
121.57,48.09,8.2766,2.006,2001-10-11
120.93,48.07,8.2765,1.994,2001-10-12
120.94,48.07,8.2766,1.9474,2001-10-15
121.27,48.05,8.2767,1.947,2001-10-16
121.05,48.05,8.2769,1.9459,2001-10-17
121.18,48.08,8.277,1.9658,2001-10-18
121.15,48.08,8.2768,1.9685,2001-10-19
122.45,48.05,8.277,1.9712,2001-10-22
122.83,48.03,8.2768,1.9658,2001-10-23
122.86,48.08,8.2767,1.9701,2001-10-24
122.72,48,8.2769,1.9814,2001-10-25
122.99,48.02,8.277,1.9932,2001-10-26
122.08,48.02,8.277,1.9778,2001-10-29
122.07,48.03,8.2768,1.9771,2001-10-30
122.54,48.04,8.2768,1.9881,2001-10-31
121.87,48.05,8.2769,1.9662,2001-11-01
121.68,48.04,8.2769,1.9697,2001-11-02
121.72,48.02,8.2768,1.9701,2001-11-05
121.15,48.04,8.2767,1.9489,2001-11-06
121.05,48.04,8.2766,1.941,2001-11-07
119.98,48.07,8.2766,1.9429,2001-11-08
120.25,48.05,8.2766,1.9436,2001-11-09
121.45,48.11,8.2765,1.9234,2001-11-13
121.67,48.11,8.2767,1.9283,2001-11-14
122.4,48.03,8.277,1.9305,2001-11-15
122.67,48.03,8.2771,1.922,2001-11-16
123.27,48,8.277,1.9212,2001-11-19
122.62,48.03,8.2769,1.9275,2001-11-20
123.19,48.03,8.2769,1.9372,2001-11-21
124.44,48.1,8.2769,1.9342,2001-11-23
124.2,48.05,8.277,1.9268,2001-11-26
124.17,48.08,8.277,1.9168,2001-11-27
123.29,47.99,8.2772,1.9183,2001-11-28
123.82,48.01,8.2774,1.932,2001-11-29
123.22,47.98,8.2772,1.922,2001-11-30
123.9,47.93,8.277,1.9294,2001-12-03
124.28,47.93,8.2771,1.9399,2001-12-04
124.4,47.94,8.2772,1.9342,2001-12-05
124.83,47.9,8.2773,1.9298,2001-12-06
125.66,47.86,8.2772,1.9395,2001-12-07
126.27,47.87,8.277,1.9417,2001-12-10
126.23,47.85,8.2768,1.9425,2001-12-11
126.52,47.84,8.2768,1.9227,2001-12-12
126.32,47.84,8.2767,1.9309,2001-12-13
127.24,47.86,8.2768,1.9283,2001-12-14
127.54,47.86,8.2769,1.932,2001-12-17
127.97,47.86,8.2768,1.9391,2001-12-18
128.2,47.8,8.2767,1.9486,2001-12-19
128.55,47.83,8.2766,1.9814,2001-12-20
129.48,47.85,8.2767,1.9704,2001-12-21
129.9,47.95,8.2766,1.9662,2001-12-24
130.79,47.95,8.2766,1.9685,2001-12-26
131.47,48.21,8.2676,1.9704,2001-12-27
131.3,48.29,8.277,1.9562,2001-12-28
131.04,48.27,8.2766,1.9543,2001-12-31
132.02,48.27,8.2766,1.9436,2002-01-02
131.76,48.28,8.2766,1.9433,2002-01-03
131.02,48.3,8.2768,1.9253,2002-01-04
130.93,48.28,8.2767,1.9294,2002-01-07
132.53,48.3,8.2766,1.9091,2002-01-08
132.62,48.32,8.2767,1.9095,2002-01-09
132.61,48.41,8.2766,1.9124,2002-01-10
132.17,48.44,8.2768,1.9194,2002-01-11
131.83,48.36,8.28,1.9305,2002-01-14
131.14,48.31,8.28,1.9272,2002-01-15
131.77,48.3,8.28,1.9399,2002-01-16
132.13,48.31,8.2768,1.9474,2002-01-17
132.64,48.27,8.2767,1.9417,2002-01-18
133.98,48.3,8.2767,1.9283,2002-01-22
134.25,48.35,8.2765,1.9238,2002-01-23
134.64,48.35,8.2767,1.9249,2002-01-24
134.47,48.38,8.2765,1.9354,2002-01-25
133.43,48.37,8.2767,1.9357,2002-01-28
133.51,48.43,8.2766,1.9455,2002-01-29
132.84,48.53,8.2765,1.9763,2002-01-30
134.06,48.56,8.2765,1.9716,2002-01-31
133.77,48.55,8.2766,1.9685,2002-02-01
132.71,48.61,8.2766,1.9589,2002-02-04
133.9,48.69,8.2765,1.9658,2002-02-05
133.72,48.71,8.2767,1.9631,2002-02-06
133.49,48.72,8.2766,1.9724,2002-02-07
134.77,48.7,8.2767,1.9592,2002-02-08
133.62,48.75,8.2768,1.9512,2002-02-11
132.82,48.69,8.2768,1.9658,2002-02-12
133.23,48.9,8.2768,1.9658,2002-02-13
132.26,48.71,8.2768,1.9354,2002-02-14
132.76,48.71,8.2768,1.9354,2002-02-15
133.45,48.67,8.277,1.9316,2002-02-19
133.76,48.64,8.2768,1.9339,2002-02-20
134.27,48.69,8.2766,1.9346,2002-02-21
133.85,48.79,8.2765,1.9482,2002-02-22
133.89,48.82,8.2765,1.9486,2002-02-25
134.35,48.75,8.2767,1.9433,2002-02-26
134.63,48.76,8.2765,1.9387,2002-02-27
133.96,48.76,8.2765,1.9354,2002-02-28
133.35,48.76,8.2766,1.9316,2002-03-01
132.2,48.72,8.2767,1.9223,2002-03-04
132.31,48.72,8.277,1.9205,2002-03-05
130.85,48.71,8.2766,1.9172,2002-03-06
127.07,48.76,8.2771,1.9037,2002-03-07
128.21,48.76,8.2771,1.9102,2002-03-08
128.08,48.76,8.2769,1.9186,2002-03-11
128.67,48.76,8.2767,1.9209,2002-03-12
129.43,48.74,8.28,1.9231,2002-03-13
128.94,48.77,8.2774,1.9124,2002-03-14
129.1,48.73,8.278,1.9022,2002-03-15
131.27,48.74,8.2773,1.9066,2002-03-18
132.3,48.76,8.2775,1.9102,2002-03-19
131.6,48.76,8.2774,1.8839,2002-03-20
131.86,48.78,8.2772,1.879,2002-03-21
132.88,48.8,8.277,1.8776,2002-03-22
133.46,48.8,8.2769,1.885,2002-03-25
132.78,48.78,8.2771,1.8914,2002-03-26
132.61,48.83,8.2772,1.8957,2002-03-27
132.61,48.83,8.2774,1.8741,2002-03-28
132.7,48.83,8.2774,1.8751,2002-03-29
133.32,48.83,8.278,1.8702,2002-04-01
133.4,48.85,8.2772,1.8702,2002-04-02
